z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,label
-49.192013,63.750652,2.8787277,7.2049828,-54.314915,-25.155287,18.85919,64.884834,19.883139,21.209333,10.984562,-23.460283,-26.266241,-59.33662,-11.766734,-30.970284,31.334846,-44.149307,29.295603,22.373701,-46.267277,43.631413,2.530887,-8.939183,19.394087,-23.796295,36.390152,-18.787584,-6.932431,60.2548,-29.058031,9.285308,0
37.393597,51.53509,-1.8395611,16.113796,-49.25866,16.7619,8.370359,-27.534338,10.216744,11.078941,-57.758465,-42.65469,17.990543,61.143555,34.006325,-44.22974,3.8240464,9.0505705,8.803633,14.645279,-58.20704,21.197538,27.37438,-25.726143,-4.34982,-38.101845,-34.08183,16.427088,13.660269,6.7227387,-30.593357,49.33599,0
-39.697906,2.3654807,-46.93833,4.8718023,-44.779343,-33.785873,-21.270784,-17.01447,16.00276,4.3185177,5.3394375,-24.115004,4.3305683,-34.476364,31.294617,30.250853,13.13062,-20.71415,-36.81157,15.939981,3.4450984,26.207487,22.46777,-7.6957755,12.900657,21.840982,46.32359,-33.381695,6.1555696,-8.567249,-43.9106,-27.472397,0
-11.226986,13.578205,2.633202,47.20802,-38.7947,-7.3385525,-20.497814,-19.022974,14.1135435,-7.528022,-29.11534,9.393893,19.83347,3.1194148,51.5022,3.3709497,-16.566153,-38.761196,-19.18717,32.341316,-19.642685,-26.92745,-38.29829,-22.118397,24.372463,9.50889,-42.737736,-4.5029054,-42.54231,33.572487,-13.373267,-80.70499,0
-20.570827,9.602322,23.279903,-15.401136,-13.320784,-37.929245,-15.470346,-18.38189,-21.157204,39.519634,1.266757,-8.460436,7.99243,-4.9031734,24.516483,13.017026,-2.736113,-27.138988,1.8248612,20.138098,36.139168,17.674364,1.5468061,-18.674107,12.019739,-4.0716834,-3.5983193,-32.03906,20.929775,-41.744453,-34.250153,-75.10512,0
-21.723461,13.894424,-48.325085,0.12337122,-51.570587,-28.589235,-39.442978,-32.764885,23.311913,-2.962173,-33.461544,-27.751719,11.215799,-0.5554947,49.270283,20.7326,15.660964,-0.15981783,-40.707386,20.856602,-27.756275,25.328726,16.5641,-20.999693,20.285,8.789181,23.277754,-14.806245,17.457668,-2.608947,-47.68547,-0.57829505,0
-4.8685756,0.7350493,-56.64433,13.292241,-42.763706,-10.771381,-51.316414,-49.113983,18.269592,-2.0068338,-46.039463,-31.813543,23.857782,4.760251,55.840412,27.788424,5.166795,-3.4435978,-37.166233,8.471179,-40.57332,10.365807,12.906609,-12.409395,17.28969,15.023527,17.42017,-8.60181,16.14887,0.60158885,-34.188652,-23.191835,0
15.664054,4.992159,39.32919,-23.279556,21.253725,-27.322416,-34.177814,-33.306423,-33.656544,30.358574,-15.669396,21.168337,-13.464591,7.847911,24.67167,11.180289,-2.8930311,2.4497662,-8.288009,19.484482,63.58792,26.646107,6.043558,-3.541071,11.696859,-9.495892,-38.68715,-20.84158,41.381607,-61.507236,-31.020529,-52.307236,0
37.477676,64.49197,10.133124,19.980148,-60.058464,27.655262,1.9148595,-4.1305175,22.240637,21.481848,-56.882957,-49.659813,23.596508,37.317505,17.708767,-61.093395,-5.5106034,-19.833336,35.425053,-22.003607,-67.77234,7.5360785,32.122543,-11.393645,-8.57994,-25.475996,-46.85452,12.941606,-6.6957397,32.402843,-15.027021,30.393566,0
30.772038,14.270594,-18.363434,8.2771015,10.679656,-47.38002,-55.1502,-15.106811,-29.78396,28.791224,-5.361583,-2.3425639,-8.760878,0.07136263,3.260788,-6.1703076,10.090281,10.264135,-10.571174,-26.79417,51.17745,10.57023,12.084711,14.17932,-12.895305,-24.341934,-35.721214,-33.100025,-4.4200487,-78.99799,-32.225616,-16.668287,0
-44.688328,0.5157466,-55.330505,29.205366,-47.70714,-30.287426,-16.675268,-15.694715,24.100615,4.826344,12.817864,-27.308882,1.5473773,-40.409122,27.68952,29.296162,22.439579,-10.432234,-50.092644,21.813942,1.4991686,28.401703,19.57935,-0.23903874,9.283628,20.548088,47.297016,-20.896624,-18.493567,-2.6257114,-41.05087,-8.523945,0
24.142586,35.810703,-19.879517,-1.0077806,-50.871845,0.042085767,-20.594444,-38.631447,15.749036,-7.1402326,-64.84004,-33.21153,17.771164,52.181973,52.50005,-11.675741,2.8990798,12.864557,-15.878625,23.405384,-55.23331,24.726395,24.059965,-31.47453,11.679972,-22.010897,-14.409554,5.1319304,29.742968,2.579155,-40.15162,37.119453,0
48.567154,60.623672,21.218182,36.617878,-24.812147,18.662243,3.0180254,-22.056147,14.593709,30.554167,-53.736866,-37.077526,24.725374,46.80847,26.802439,-52.13832,4.0095124,-13.119324,41.591183,-19.870033,-52.560337,-10.181888,17.210901,-19.535841,-4.8814735,-33.488903,-79.14465,28.593096,-10.689572,14.969727,1.1135982,-3.1029904,0
-15.691843,11.505642,26.882654,-13.88642,-8.510736,-40.649586,-18.70287,-21.551935,-23.30802,38.646103,-2.0524173,-2.177546,1.5786703,-1.9211313,31.38173,15.167666,-5.361854,-22.383186,1.4184545,21.502287,36.441708,20.386322,1.2111293,-20.15526,13.565167,-9.919218,-7.3999705,-27.815002,26.060219,-44.561985,-31.13226,-75.304695,0
-15.428157,10.486508,3.7017164,-37.16467,-32.317764,-31.131315,-31.308418,-19.227627,-14.123787,24.284657,-24.475618,-11.884985,13.32818,12.041999,41.908913,9.999068,-9.196401,-30.932943,-0.5086906,9.093477,7.654863,17.74971,12.689593,-32.70073,7.1422377,-11.193264,14.915021,-45.086525,51.144447,-21.885935,-32.31491,-57.884056,0
24.938734,7.85651,24.469849,-14.088859,11.223742,-33.284985,-48.68742,-37.02456,-35.158096,23.44322,-24.818476,27.639185,-23.863367,14.952902,43.058746,9.254248,-7.9222383,4.498465,-17.176908,8.504921,50.418156,26.485266,10.717609,-8.617522,6.9921403,-20.71925,-30.765497,-23.447525,47.57526,-62.105625,-24.072302,-40.50309,0
