z_0,z_1,z_2,z_3,label
-44.41355,22.243694,-82.575386,39.67138,0
1.2927922,52.099087,26.448553,48.320404,0
52.646133,-4.04099,-48.929695,42.09999,0
-2.9328275,56.934067,-51.6922,16.229053,0
8.56751,-37.90649,-41.238148,43.771095,0
55.020264,16.687195,-11.296787,65.35589,0
28.461535,12.318031,-7.2925196,34.753876,0
-12.447856,-54.117393,-25.158756,45.27761,0
-13.820032,65.13328,13.49023,30.477087,0
0.48097426,-63.41906,-5.3776913,29.452932,0
70.05552,11.830471,-51.794876,32.480495,0
19.83808,35.946575,22.985392,64.2973,0
-13.397254,83.16427,12.105831,7.5876813,0
5.605694,-39.150352,-36.879875,46.734108,0
7.248302,-24.200449,-24.274754,68.881744,0
-4.5282555,-52.62741,-12.060304,54.379086,0
-70.74388,62.869957,-13.791926,14.487947,0
-17.770224,78.42743,20.362797,5.11177,0
56.013283,25.09149,-11.7529335,67.32527,0
56.401493,11.074769,-14.232563,62.762566,0
37.616016,-19.512966,-52.194546,37.78682,0
10.464515,-42.806225,-16.281282,60.611286,0
30.710312,-4.630737,43.024017,52.32323,0
-3.2492368,-50.766693,-17.361553,57.380386,0
16.344633,11.774897,4.3774667,75.68374,0
58.851643,7.7622285,-35.185455,51.21064,0
-8.287354,-26.690311,-30.272726,31.591597,0
-7.261422,-52.44222,-22.283693,50.664417,0
27.899906,21.55184,9.64325,72.12362,0
-8.34067,-29.39991,-31.562695,48.9939,0
-13.861374,-32.88703,-31.804253,51.292427,0
-10.852711,-54.966633,-12.807976,51.5776,0
-51.130726,78.72174,-89.82711,3.006032,0
63.73829,13.240153,-36.63413,46.695633,0
-9.779441,-31.933172,-28.427347,30.857313,0
-6.556104,-53.71554,-15.838577,55.1189,0
-3.7579157,81.300224,12.796966,13.864409,0
32.06693,25.752203,40.03182,48.154537,0
11.826386,-23.458712,-31.584692,20.785332,0
11.82981,-41.542625,-14.746506,64.82717,0
-3.0649753,36.14301,46.2845,45.33728,0
49.288795,0.014473064,-22.08605,61.861385,0
-2.8012109,55.26905,31.170143,42.44113,0
