z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,label
-106.987495,3.906677,121.17245,46.457638,2.032266,130.54237,117.459755,-134.19334,0
33.76904,206.15636,2.4100301,-65.78129,-113.18523,0.87386566,12.947413,-41.305424,0
42.69119,-34.309692,116.78152,109.1542,-40.576115,165.26894,-46.38318,-11.91625,0
-0.6699108,91.13533,-110.77534,125.85212,-3.8960836,111.703384,-58.207294,-73.46977,0
40.70479,-88.02483,24.731754,-42.843216,-53.22299,164.62947,-99.81952,-39.42932,0
53.30352,84.22378,103.16959,81.58818,-84.17325,157.26056,-38.821857,15.995571,0
21.78794,102.8294,69.622635,94.91375,-77.81387,116.88737,-88.442474,41.248825,0
95.563385,-98.63205,7.117274,-139.81038,-80.20812,52.34496,-92.77118,-29.778728,0
-39.586132,189.93358,-30.428116,-46.728912,-129.38947,-38.17506,-11.127969,-76.63208,0
96.83377,-68.45165,40.21331,-117.42515,43.02418,-7.1847982,-120.550995,-39.46406,0
54.10725,-31.811644,126.807976,156.28427,-50.33863,127.48739,-12.1054325,-35.617756,0
54.33453,194.00957,35.207863,-30.95815,-117.48202,74.82649,-6.0888314,2.9813144,0
-29.9495,185.80814,-71.22827,-52.92795,-85.27815,-66.23546,-70.46441,-91.86559,0
52.49844,-81.80154,33.10123,-62.744335,-62.6671,146.97844,-114.036995,-37.16493,0
21.127953,-2.2335362,36.38102,-56.24493,-62.76316,193.09409,-102.44748,28.604517,0
126.92771,-54.620483,30.159472,-139.21794,-57.81641,30.56776,-116.9292,1.9933679,0
-134.8173,139.45747,-26.801275,-131.18756,-7.3705897,8.388335,-106.22097,-63.38959,0
-20.746166,169.70372,-68.21321,-77.01998,-65.16971,-77.08326,-52.84711,-73.57662,0
58.710297,98.8535,109.45053,82.87451,-86.81072,143.14516,-33.13246,0.2941243,0
50.7759,69.54497,106.93534,87.60346,-77.92033,164.85315,-42.1825,20.011618,0
38.73552,-64.73531,101.25312,63.155224,-11.741332,155.29543,-77.90613,-12.246501,0
