z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,label
-0.6369332,0.030526072,-0.7116653,-0.20940195,1.0650125,-1.1074545,-1.1101736,-0.43440986,-1.1910753,-0.5869108,0.19240563,-0.1735123,0.33187878,-0.584192,-3.0247264,1.2567695,0.644843,0.09541856,-0.20691848,0.8402207,-0.5074756,-1.3920281,1.4121299,2.0161722,2.3440588,0.25882447,0.73240894,-0.26734075,0.26707804,0.19785352,-1.580791,-0.28996748,0
-1.535377,-0.6058695,-0.75689363,-0.8300196,-1.0844823,0.035993118,1.8495579,-0.77353406,0.75651044,0.63756406,0.3953132,3.1945226,-0.284558,0.03557849,-0.96157706,1.0929078,-1.1608202,-0.60940266,0.43688375,2.1057382,0.15559216,1.2418337,-0.6525004,0.20049357,0.13719761,0.3343383,-0.2564339,-0.89311945,-0.82781345,0.8229116,0.45377085,-0.749967,0
-0.047373295,0.6873636,-0.14390245,0.043861948,-1.6977003,-0.0058076456,-0.59816104,-0.2876084,-0.354881,-0.36160684,0.30351925,-0.44394118,1.2334328,-0.78372097,-0.10872772,1.4545603,-0.16971089,-0.74352115,-0.38408768,-2.289106,0.6847575,-0.3620947,-0.7867833,0.249229,-1.051612,0.9131461,-0.0047561377,0.27004132,-0.39357454,-0.055010676,-0.71484494,2.1912096,0
0.7314598,-0.53102124,-0.5390807,-0.05801191,0.14651829,0.59794044,-2.2606664,0.39018923,-0.4005792,-1.5045303,1.9929576,1.347652,1.7630532,0.09255217,-0.49779475,-0.9647873,0.95277715,0.96113634,0.3022844,-0.18072087,1.0752103,-0.20351219,-0.2607013,0.13183302,1.0689534,-0.56791294,1.893262,1.703779,-1.3172385,0.47159025,0.91303766,-0.31424224,0
-0.3655272,-0.24801618,-0.82924384,-1.0443139,0.7719926,1.4602392,-0.2101007,1.7659523,1.0623175,0.0055951476,0.80252653,-0.38463068,0.003010124,1.8710474,0.098988,-0.09019176,-1.8465955,-0.60197026,-0.69773513,-1.530918,0.60879374,-0.7328393,-0.8331962,0.085360825,0.5216261,0.49929973,2.3974354,-0.127898,0.8681928,0.16243507,0.47168896,-0.56458664,0
0.85538846,0.79906243,0.52821684,0.07905206,0.22220725,0.5586267,-0.52751315,-0.44486284,0.86756694,-1.7144741,0.83841866,0.7435318,0.91448486,0.3377989,-0.46020603,1.7211137,-1.5270498,-1.1074047,-0.15203187,-1.0124776,0.29842377,1.4299703,0.4633734,-0.55776805,-0.90588546,1.8462276,0.76351166,0.95638937,-0.42174494,1.5197529,-0.64215815,2.073282,0
1.5470972,0.5539144,0.16065243,1.7948716,-1.5577754,0.26537636,-0.5345506,-0.6810233,0.8889766,-1.4136906,1.2085844,1.0809567,0.71041596,-1.8737576,1.0730193,-0.22147754,-0.8961869,-0.6017842,1.0759702,-0.9076837,1.1842395,1.4001102,0.39171672,-1.6024352,-0.15934372,1.295636,0.66448975,1.2154416,-0.26266336,-1.9635675,-0.29678065,1.7576762,0
0.32716787,-0.50923514,-0.9500476,-0.7100746,-0.17186435,0.84937996,0.13556321,1.1578449,1.379761,0.6861284,0.6985633,-0.18270363,-0.44940343,-0.10862613,1.2032828,-0.6734296,0.04813067,0.4496264,0.7570388,0.947318,0.044496126,-0.6962844,0.08253674,-0.27069882,0.2525712,-0.27345407,2.2565727,-0.6761311,1.0679117,0.36458412,1.792565,-1.9096944,0
-2.1593637,-0.4300964,0.675437,0.40153584,-0.18253426,-0.68616474,0.75815713,0.30824783,-0.023045331,0.069842756,0.31067505,3.9033213,-1.1554146,1.2474035,-1.2175967,-0.26563832,0.08259237,0.112886846,-0.15918717,2.0526767,-0.78554285,0.3547784,-0.14479405,0.42416543,0.76047313,-0.4141671,-0.1900185,-0.031095361,-0.85797846,0.5284678,-0.0851074,-1.5074282,0
-0.13566855,-1.1622218,0.5225531,-0.3272208,-0.88805383,2.2266238,0.708957,-0.056789666,0.2987719,0.33570874,-0.5868337,-0.40251166,0.062122565,-0.57535005,0.87902576,0.53434867,-0.5725099,-1.0109026,0.08688256,1.7712133,-1.2304704,-0.4904347,-0.7232322,1.5852222,-1.1229571,1.1252313,1.3932931,-0.973891,0.632578,-0.59288937,1.0943141,-1.8954479,0
-1.2392638,-0.16894375,-0.9121129,-0.25027847,0.009321287,0.20341364,-0.83057755,-1.0902795,-1.2059635,-0.9312873,0.031717688,-0.50299835,-0.6044111,0.20809628,-0.60138255,1.1810954,1.3464888,-0.8177938,0.4094361,-1.7897456,-2.0485919,0.26500526,-0.9848565,0.73738617,-0.3040841,0.83601147,-0.59163046,1.1669776,-0.09351531,0.6379024,-0.95688397,2.1938796,0
-0.8867835,-1.0017743,-1.0384846,0.7743662,0.4649738,-0.24620104,1.6569664,-1.0924779,1.123895,0.62340015,0.6551383,2.443395,-1.52003,-0.45209825,-0.15506452,1.0931921,0.9925021,-0.867355,-0.21040785,1.3754708,0.49319074,1.6828575,0.15213445,-0.21740045,-0.31132886,0.6595982,0.5639223,-0.31386125,-0.7833502,-0.41002518,-0.06733495,0.33389422,0
-1.6713469,0.2716813,0.011666603,-0.7868334,-0.0022867993,-0.1989347,0.14880264,0.37019166,0.038335152,-0.4312489,-0.06393671,3.6074815,-0.13629663,1.2904476,0.07928669,-1.1412001,-0.8895337,-0.04454808,0.37610394,2.1877937,-0.019697487,0.3466645,-0.33785474,0.7546948,-0.69046396,-0.3150742,-0.030029804,0.56221867,-0.7601834,0.26721197,0.9907543,-2.598885,0
0.8377429,-0.49139917,-0.22463858,-1.1633396,1.4238112,1.4625556,-0.73043275,0.91874427,1.2714889,-1.3221488,1.1669943,-0.33032188,1.0680107,1.4999245,-0.120333135,-0.26761186,0.8992191,-0.7594747,-0.59146833,-1.2556319,0.16068265,-0.6996876,-1.4310553,0.079851545,0.8024439,0.12955365,2.3211186,0.14866056,0.43822402,1.390362,0.9632005,-0.66819686,0
-0.17930876,0.47967935,-1.327916,-1.2387881,-0.32209814,0.50342387,0.9010273,0.24574971,1.6975055,-0.3396145,1.1518946,1.0187957,0.68750906,1.2587538,-0.15764342,0.912328,-1.3201525,-0.9695408,-0.118531704,-2.1178463,-1.5813025,-1.5128561,1.260652,-0.05644215,0.6316247,-0.31094366,1.6568209,-1.002491,-0.16517411,0.5597811,0.49979827,0.5147937,0
0.7682527,0.5476154,0.15960598,-0.4782999,-0.33919048,1.1420416,0.21080208,1.0130627,1.7691349,0.4765033,0.99465674,0.27946475,-0.89191836,-0.6957446,0.71885985,0.20307639,1.1162095,0.54408526,-0.17060262,1.2236598,-1.3580637,-1.1308155,-0.845345,-0.09463242,0.0003799498,-0.29781115,2.616012,-1.1011229,0.35864672,0.94080734,2.1505828,-1.4342622,0
-0.5516153,-1.2558423,0.23313715,0.18473879,-0.25506663,-1.1437943,-0.32751805,-0.7872606,3.4008195,-0.20543599,1.5919669,1.3424228,0.94890493,1.1864898,-0.88512963,-1.9344736,-1.3383049,-0.7174618,-0.25011104,1.3338372,-0.31664786,-0.61630195,0.03217899,-0.5601962,-1.0918572,-1.212903,-0.8554126,-0.8367689,0.11779585,-0.3580746,0.7315835,-0.7493955,0
-1.8365325,0.07571018,-0.49721032,-0.7334654,-0.117467605,-1.1403985,0.6220357,0.7165116,0.21379386,-0.32086617,-0.34905925,3.485036,-0.53643036,1.6149819,0.35163668,-1.2049339,-0.42762393,0.9537777,-1.9232233,2.3370943,0.05071482,0.87440675,0.45098466,0.56082195,-0.03236881,-0.7094997,0.10434219,0.089685574,0.004706368,-0.6263433,0.919399,-2.5844839,0
0.63492554,-0.59509283,-0.7548241,-1.003906,-0.28312287,1.0737593,-0.24514067,0.38741782,0.76774275,1.2581567,1.0345027,0.7339451,-0.25317556,-0.85877866,0.1252721,0.6531075,-1.7148738,-0.4981198,0.040209204,-0.89350814,-0.14315625,1.5390443,-0.553536,0.31383947,0.14632106,0.27096587,0.66652703,1.461129,0.5339546,-0.7396072,-1.3891518,1.5084283,0
0.42840064,1.0812055,-0.16505632,-0.274732,0.27145728,1.138591,-0.23497345,-1.1724691,0.7933604,0.23679465,-0.81918716,0.56156665,-0.331429,1.0358353,-0.44806382,1.0359713,-0.018148081,0.15352152,1.1146212,-1.2899377,1.6368661,1.0019784,0.022274017,-0.3351318,-0.2874595,0.68456197,0.8945178,0.95443237,0.33259428,0.9436323,-0.94881785,1.933621,0
0.03457443,0.23176944,0.5715498,-0.5280281,1.4885164,0.23840679,-0.01543501,1.0013449,0.20788717,0.5944818,0.81849104,-0.62000924,-0.7380606,-0.004048556,0.04044611,1.1427768,-1.574957,-0.5682256,-0.40139034,-2.5331,-1.5323862,-1.7837142,-0.91955847,0.11197923,-0.122821465,0.85627586,0.2496934,-0.750591,-0.5803175,1.0770358,0.16483729,1.4487079,0
0.99125105,1.3415697,-0.41276544,-1.3922377,-0.65279144,1.6089681,-0.4048808,-0.11588192,2.2535765,0.1321699,1.8660082,-0.25473487,-0.34791857,0.52739537,-0.4161569,0.24693501,-0.19614886,-0.21414831,-0.5803532,-0.2717085,0.6725725,-1.2105706,-1.2565295,-0.33196563,0.9236849,-0.12132946,1.9652661,-0.6852834,-0.21055654,-0.48696288,1.69368,-0.46185148,0
0.5719783,-0.5529212,0.19296165,0.2305895,-0.23061538,-0.74507827,1.5547196,-0.5675162,1.2536899,0.12672967,1.6586963,1.0991107,0.26169682,-2.4006774,0.56061935,0.72581244,0.35267615,0.27061284,2.3399758,2.2696342,-1.216232,1.1524476,0.9153037,-1.2406211,-0.6335642,0.21709678,0.8939918,-1.9204813,-0.89036673,0.123812616,1.4957743,0.48154044,0
0.83300054,0.3114642,-0.14186019,-1.293068,-0.07006642,1.3652393,0.27559006,0.9065263,1.9644282,0.9780408,1.2829903,-0.1771085,-1.1862099,-0.027076818,0.96808213,-0.15763488,-0.0580673,0.0644656,0.15585506,0.69205713,-0.3100984,-0.78760344,0.3658684,-0.3431735,-0.21773781,-0.27734315,1.9297214,-1.4800375,0.25002918,-0.20286837,2.260463,-1.2466807,0
-0.0019769818,0.34489325,0.19909555,-0.027922869,0.8497813,-0.32078457,1.287947,-0.34335804,1.7003125,0.16347635,1.5020381,2.1120262,-0.38450193,-0.2873778,-0.8523197,0.6603292,-0.6870567,-0.9245488,0.030596443,-0.5298883,0.55947083,1.1446426,0.5838016,-0.9930871,-0.4522141,0.16520861,1.316522,-0.8378018,0.4476415,-0.055126004,-1.1190042,0.98619276,0
0.043242425,0.38417435,-1.6001368,-0.058946796,0.34128773,0.5435886,-0.51232,0.041152954,0.115662664,-1.28245,0.32407454,-0.20910558,0.9363535,1.3059928,0.9743897,1.3568394,-0.055487614,0.13139917,-0.6329353,-1.6390632,-0.95205534,0.59583205,0.563967,-0.05701755,0.029612735,1.7616934,0.15063827,0.8706619,-0.2481251,1.203538,-0.7091328,2.2777998,0
-0.5981469,-1.4014015,0.089339614,-0.19043039,0.10317382,1.6382751,0.52003115,0.0901095,1.243309,-0.34587896,0.121908754,-0.6154211,-0.849021,1.3521864,0.44458544,-0.050302118,0.74739265,0.4625463,-1.734412,-0.50690335,-0.12813896,0.9354411,-0.9602381,0.36550018,-0.97622275,0.56760406,2.1342938,-1.5413867,1.5622213,-0.7026546,0.23615688,-0.6805212,0
0.20594314,0.22507685,-0.53796333,-0.74314106,0.3310576,1.3745108,0.074136026,1.1198187,1.6938947,0.6982908,0.967641,-0.26250732,-0.17812274,0.17088397,1.0921795,-0.49648255,0.98350364,0.36536115,-0.93879426,0.8391225,-0.0210573,-0.61466676,-0.101701,0.054037333,-0.30286077,-0.34577957,2.2796159,-1.4252167,0.86806494,-0.3006945,2.0152044,-1.456153,0
