z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,label
-0.93474895,0.5358786,-0.51225126,0.058131747,0.31663126,-1.1633489,-1.1317815,0.018080102,-1.3452823,0.65487206,0.296464,-0.21178699,-1.1109155,-0.19142282,-3.1469803,1.6806958,-0.31155074,-1.8112903,-0.15017584,0.7053459,0.16514081,-1.5379882,0.33928436,1.8653958,1.9023545,-0.34965235,0.96995884,-0.09317132,0.32330918,-0.22422582,-1.8921868,-0.5457515,0
-0.86221915,1.1494837,1.4329599,1.1215798,-0.44724527,-0.022456974,1.4128382,-0.38326025,0.62030184,0.3603478,0.1653619,3.2850072,-0.40253752,0.006603062,-0.52356696,1.1273307,-0.8650006,0.08864538,0.999545,1.7718996,1.188568,0.8222848,-1.1545564,0.4460624,-0.14155369,0.4919669,-0.779544,-1.3932327,-0.48302078,-0.5781405,0.13453768,-0.47557777,0
-0.4597582,-0.26902255,-0.03307949,-0.20548251,1.2031263,-0.044393823,-0.69205445,0.045002252,-0.2856353,0.24833125,0.0674604,-0.5601718,0.93036675,0.051775455,-0.9926276,1.4085631,-0.5649995,0.52475274,0.13632083,-2.335218,-0.38094422,-0.23192528,-0.41452685,0.035757776,0.7610804,0.26964492,-0.16851196,0.3413898,0.58155656,0.28565913,0.2668314,2.263198,0
0.25085267,-0.14115092,-1.4363396,0.29023862,0.98214287,0.8048348,-2.4694836,-0.46714008,-0.64661574,1.3407123,2.1954343,1.3609947,-0.49385053,0.18658197,-0.76463306,-0.8219793,0.42553902,-0.07193205,0.98986894,-0.3077486,0.27031222,-0.44847488,-0.37140107,0.08407459,0.9826604,-0.20209734,2.0847273,1.684695,-0.8525115,0.13252723,0.71217,-0.18845683,0
1.3983806,-0.36995956,-1.3372725,0.646641,-0.4130327,0.8869965,0.08843693,1.1163517,0.8424101,-1.4499402,1.0369726,-0.48442477,-0.1773595,1.8739718,0.8701724,-0.13796535,0.7525545,-1.7728913,1.0801916,-1.6758105,0.7208353,-0.94008535,0.87947965,0.7551719,0.92439175,0.008845687,2.1535563,-0.48398912,-0.20819628,0.31701428,0.5714522,-0.78080225,0
-0.7866837,-1.2151554,-1.2012024,1.3950049,1.6882333,-0.30315167,-0.34887996,-1.211059,0.93243194,-0.31400454,-0.48164698,0.64322287,1.237312,0.08396846,1.3320472,1.2793905,0.5147781,1.247483,-0.8411836,-1.223437,-1.6742598,1.2805595,0.7386898,-0.17333944,0.56366843,-0.5629224,0.6341169,1.1944908,-0.43835533,0.6312684,-1.3526232,1.2985369,0
1.3122447,2.429578,-0.23378691,0.7062243,-1.1132977,0.4364674,-0.7020966,-1.0479803,0.9364108,-0.28955963,-0.035696924,0.99759555,-0.505526,-0.3579803,2.3815093,-0.5810709,0.5908953,1.1498624,0.77475417,-1.0177896,0.025735555,1.6288464,-0.052489117,-1.6109316,-0.49885798,1.3153827,0.06815448,1.2424506,-1.4952735,0.42727354,-0.5464415,1.5331697,0
-0.3781956,-1.2075177,-0.24995397,0.066571616,0.6663614,0.38497466,-0.18522742,-0.008919179,1.427171,-0.40535998,0.58546525,-0.20139746,0.19845766,-0.23434706,1.164035,-0.685738,-0.033815697,-1.1107776,0.2720065,1.0043482,-0.7548687,-0.630825,0.4288879,-0.2950876,-0.46094435,0.16073292,2.3590162,-0.729347,0.8097669,-0.17880315,1.8552266,-1.8552487,0
-1.0991836,-1.2559817,-0.14443108,-0.63889813,-1.3568006,-0.7384206,0.19970717,-0.07202274,-0.13109486,-0.43936276,0.18726867,4.0786633,0.50559044,0.6550002,-1.6881973,0.070400394,-0.03832615,0.06717849,0.251676,2.254676,1.0502616,0.03992089,-1.155116,0.7161689,0.45406577,-0.3772391,-0.2451761,-0.40004626,-0.6172422,1.3765905,-0.40745437,-1.7971709,0
-0.258529,0.7943745,0.19797614,-1.357606,1.0114889,1.7633407,0.67736757,-0.79580754,0.41567385,1.7259662,-0.5484169,-0.26772946,-0.3661454,-0.68142587,1.1461071,0.4527621,-0.21942668,0.47388124,-0.70771813,1.7956204,-0.8070489,-0.6250689,0.1879079,1.2995621,-0.6605083,1.2303562,1.2741483,-1.1325369,0.34660825,0.2791254,1.1712365,-1.9732786,0
