z_0,z_1,z_2,z_3,label
0.40512615,-2.3424203,0.18013059,1.1213558,0
-2.7431397,0.26084286,-0.94931793,-0.07737826,0
0.37019286,-0.009659428,-2.048962,-0.29878607,0
0.13044897,-1.1117202,0.097636335,-0.80899334,0
1.091063,1.5004128,-1.7997003,1.0797185,0
-0.54656345,0.25521833,-1.6328493,-0.2476827,0
-0.41244593,0.012425017,-0.8741538,-0.26887745,0
1.3729799,2.5499003,-0.46230665,1.444103,0
-2.7388332,-0.4931233,-0.617162,-0.017014,0
1.2674971,1.4969983,0.4860958,1.152514,0
0.3700189,-0.3290232,-2.1701512,-0.8325753,0
-1.8401701,0.50651485,-1.0333064,0.03676826,0
-2.958173,-0.7132807,-0.33973086,-0.7683369,0
1.0456252,1.7204025,-1.5001014,0.9680194,0
0.090410054,1.290521,-1.550543,0.8961466,0
0.8704012,2.5542796,-0.066985294,0.9837416,0
-2.4998384,-1.4362824,0.86618394,-0.22956854,0
-3.3272252,-0.32700926,-0.18730979,-0.5973762,0
-0.65957534,0.21733771,-1.7273618,-0.25075832,0
-0.42510527,0.33881992,-1.7050442,-0.18240118,0
0.7064462,0.33250478,-2.3058627,0.13148947,0
0.5265776,2.1621685,-0.9258073,0.45366272,0
-1.328317,1.3121026,-0.045071702,-0.8120133,0
0.9009405,2.6238306,-0.5747181,1.0264769,0
-1.0637344,0.6009369,-1.2605534,0.64860636,0
-0.025215326,0.054540526,-2.0161607,-0.36735797,0
0.7815594,0.83475214,-0.57653373,1.236968,0
1.1292413,2.5669646,-0.52966774,1.1959342,0
-1.2309014,0.55277395,-1.3042421,0.17577454,0
0.6463485,1.3172886,-1.1940691,1.535563,0
0.77080077,1.5168087,-1.0841689,1.5675168,0
1.1052752,2.529063,0.060014643,1.273856,0
-0.5301855,-2.8319964,-0.056393486,-0.7055984,0
-0.020319162,-0.041670904,-1.9904113,-0.5808757,0
0.93317956,1.0423914,-0.45669186,1.1613595,0
0.98191977,2.6326575,-0.22399111,1.1434819,0
-2.74762,-0.5891301,-0.5671948,-0.62941843,0
-1.7702075,1.0700812,-0.74934024,-0.7594029,0
0.9745556,0.43574423,-0.8877715,0.75570077,0
0.3793895,2.1234064,-0.9672226,0.43146497,0
-3.322338,1.2038999,-0.38772297,-0.07110562,0
-0.23553206,0.38558027,-1.8130634,-0.041677687,0
-3.0399082,0.3465348,-0.82657766,-0.08516031,0
-2.6223223,-1.1916865,0.44886738,-0.61754304,0
1.0379926,-0.43526575,-1.6279625,-2.1517024,0
0.5660994,1.2548567,-1.8650355,0.83532155,0
0.9877407,1.9677587,-1.4539347,0.9906689,0
-0.9555903,0.086444214,-1.5096278,-0.23727347,0
-3.007907,-0.8562475,-0.21892126,-0.810453,0
1.2134823,1.3343854,0.5141162,1.2691771,0
-0.23572327,-0.28436476,-0.18033244,-1.3413405,0
-2.5642207,-0.30638218,-0.742963,0.22100118,0
1.4471725,-0.09857084,0.10768634,-0.15542084,0
-0.11882706,-1.3831444,0.04412031,-0.04391817,0
-0.4791578,0.2729299,-1.5895455,-0.24380197,0
-0.5562755,-0.56892496,0.1838436,-0.47129726,0
1.2209963,1.7764137,-1.6468487,1.2280986,0
-3.1885948,-0.4382121,-0.29798043,-0.6263536,0
-0.6058869,0.40916657,-1.4321692,-0.45507067,0
-1.7359711,-0.599812,-1.1425638,0.19367765,0
0.45925283,2.0279777,-1.6984825,1.3505645,0
0.0853238,0.07669696,-2.0100071,-0.3341211,0
0.18143745,-0.012115395,-2.0153525,-0.48398316,0
1.6940773,-0.5639536,-0.4309112,-1.8470042,0
-0.61881626,0.2580709,-1.6448157,-0.24149466,0
1.999977,1.6483985,0.09716588,0.30363196,0
1.8621247,-0.29164585,-0.92228067,0.67319715,0
-2.7951808,-0.9780882,0.5241292,-0.594084,0
-2.6692033,-1.2221622,0.70843685,-0.6154359,0
0.08124761,1.3966333,-0.88916814,0.48964348,0
0.3671644,-0.17502922,-2.1715426,-0.68710834,0
1.1085616,0.93569833,0.44316816,1.312781,0
0.51087964,-0.12785883,-2.1030865,-0.2872681,0
-0.017481819,2.1236033,-1.6225961,1.4594802,0
-0.6150724,0.31248093,-1.496251,-0.3041743,0
-1.2890984,-1.4744754,-1.0803608,-1.5544623,0
1.3483344,-0.5573476,-2.289948,-0.91863865,0
-0.4106075,0.29674253,-1.6721984,-0.3169427,0
-3.5652585,0.5380335,-0.2523951,-0.11966216,0
-2.6177757,-1.3110962,0.534605,-0.8055601,0
-0.09700517,0.10535772,-1.9383634,-0.34557968,0
-2.5218914,-1.1623911,0.11657843,-0.8077997,0
-0.0083060395,1.5859498,-1.6687064,1.1036093,0
1.753961,1.6081531,-1.1697078,0.4305323,0
1.0917277,1.246003,-1.2505449,0.7902472,0
0.5165493,0.49498016,-0.8240481,0.7656932,0
-0.94825524,0.07297508,-1.6487521,-0.2617297,0
-2.7369463,0.7454549,-0.8843228,0.27143696,0
-0.22757176,2.074749,-1.5464544,1.5024651,0
0.35219333,0.72853315,-1.7063975,0.50376755,0
0.1051317,-0.030677304,-1.830768,-0.60767907,0
0.22946115,-2.1925528,-0.3398119,-1.0008551,0
-1.4558239,-1.7462089,1.6952785,0.83937776,0
-0.17543425,1.5623116,-1.5631112,1.1903931,0
-1.9971572,-0.008287602,-1.0089582,-0.063079126,0
-1.8640306,0.5505351,-1.01114,-0.15776883,0
-2.7474365,-1.1342398,0.21279186,-0.9081004,0
-0.508206,0.38997868,-1.4276001,-0.6950692,0
-3.4290802,0.74596196,-0.2633309,-0.042101845,0
0.01204254,1.8790177,-0.915571,0.18503076,0
-0.36129043,-0.21554251,-1.9560393,-0.5190008,0
-0.69759846,0.1997139,-1.6202787,-0.27642485,0
-2.3698268,0.92001444,-0.8119207,0.41760394,0
0.4425426,-0.07500369,-2.1037633,-0.37753147,0
0.073463224,-0.21098518,-2.1140866,-0.6354333,0
1.1761881,1.1516805,0.37667277,1.3529543,0
-2.7285478,-1.0184573,0.502783,-0.80286324,0
0.315784,1.2302425,-0.8800778,0.64863825,0
0.97845376,-0.23528911,0.2635797,0.5573191,0
0.9087717,-1.5342761,0.4098584,-0.10234523,0
1.9176942,0.8599023,0.61033773,0.17153738,0
-0.16328722,-1.1573249,-0.8794892,-1.6944988,0
0.038438708,0.040544122,-1.9578103,-0.4053304,0
-1.1244719,-3.3529704,0.5570421,-0.12100958,0
1.0516257,2.0966265,-1.5342053,1.4210814,0
0.46663088,1.779634,-0.8384691,-0.16189362,0
-0.5237214,0.3017641,-1.747674,-0.18866037,0
-0.8203366,-1.0972835,-1.8397671,-1.2649478,0
-0.45135313,0.38865328,-1.4919652,-0.16191694,0
-0.15913661,-0.75277376,-2.07008,-1.0420619,0
0.52064806,2.4601946,0.1893309,0.58342135,0
-2.7396646,-1.0512114,0.31950977,-0.44430107,0
1.5911434,2.1027174,-0.6055179,0.076894335,0
1.0696056,2.350246,0.47854608,1.6059867,0
-1.4665695,0.17959774,-1.307138,-0.18757868,0
1.9649711,1.6287427,-1.1939417,-0.025362248,0
1.4215804,2.5495298,-0.07151555,1.4005011,0
1.4100828,2.3346992,-0.054734044,1.0136132,0
-0.54345566,0.37252492,-1.5085486,-0.25634402,0
-2.178863,-2.1656907,0.8865919,-0.3085791,0
0.21372291,-0.10039029,-1.9596164,-0.72168505,0
1.570323,1.8030729,-1.2783636,0.4014961,0
1.7865813,0.16957125,-0.08776284,0.1798894,0
-0.52664715,1.1688753,0.57038397,1.492042,0
1.3156644,0.884171,-0.50839674,1.1159532,0
2.5859249,1.6109607,-1.0643501,0.8508793,0
-2.9278395,0.6953531,-0.84519506,0.1820201,0
-0.18239176,0.19447905,-0.4739534,-1.3686323,0
-0.59901696,0.33752626,-1.5322893,-0.2707321,0
1.4375339,2.5567682,0.042527035,1.5337236,0
-2.90203,-0.5793465,-0.2887373,-0.41915467,0
-1.5393643,0.5428454,-1.1322829,0.15489411,0
-0.82542616,0.14920615,-0.0011391453,-0.74673665,0
1.1843437,1.4112582,-0.19207793,1.2113931,0
-0.086638086,0.12722446,-1.9966874,-0.3082718,0
1.3516562,1.6210384,0.31688806,1.2625496,0
-2.8740022,-0.84916747,0.23016134,-0.51504743,0
-2.2151444,-0.18036099,-1.0041188,-0.26248467,0
1.2621944,2.4032013,0.40533644,1.4636972,0
-0.61102283,0.30239442,-1.5596882,-0.3138982,0
-3.2767873,-0.23922414,-0.33987132,-0.4705607,0
-0.18886343,0.24088527,-0.5143171,-1.359547,0
1.5065596,1.0962242,-0.45368358,1.1899589,0
0.9250326,2.2340028,-0.7591799,0.6827609,0
-0.8004951,1.3330753,0.6902063,0.3394372,0
0.67412436,1.2836273,-1.8831973,0.8516154,0
1.3506999,1.7659181,-1.6023397,0.2473286,0
0.140156,-0.07819183,-2.0785944,-0.5055972,0
-3.0491743,-0.604742,0.38656682,-0.8640897,0
1.435113,2.1947348,0.26650998,1.0900306,0
-0.5637909,0.33970085,-1.5168624,-0.16112602,0
1.7160203,1.4388323,-1.6495926,-0.33642745,0
-2.031153,-2.235907,0.74772346,-0.16925474,0
-1.4493589,0.22750305,-1.300284,-0.19707803,0
1.3907021,2.5566194,-0.0064124223,1.5734043,0
-2.924482,-0.92214715,-0.16354477,-0.40447214,0
1.4663869,1.969347,-0.80970746,0.20677277,0
