z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,label
1.8544906,-0.72545815,-1.397238,-0.21142446,0.055029333,-1.6332326,-0.32863522,-0.97110355,0
-1.0971732,-1.6391273,-0.7196389,1.1532128,-0.8891985,-0.14611205,-1.7371594,2.121825,0
0.006098289,0.4983958,-1.248116,-1.9397917,0.79327315,0.5977181,0.22357652,0.7084646,0
1.3428575,-0.15982148,0.097031206,-0.19590935,0.81078887,1.4013244,-1.4429697,0.6800195,0
-0.69766665,-0.1346271,1.0691438,-2.0988784,1.0845058,0.8438409,-0.81653285,-0.29479596,0
-0.33013585,-0.20475002,-1.4579074,-1.3956604,0.13182025,0.564545,-0.23317517,1.7691373,0
-0.112800844,0.05350891,-1.0788045,-0.8734615,-0.5800397,1.8022147,-0.14141355,1.3416477,0
-1.4076022,-1.6482587,1.576545,-1.559149,-0.102767035,0.12958623,-0.96761966,-1.5045636,0
-0.44924757,-0.9905058,-0.7726638,1.911595,-1.0819411,0.20883454,-2.1262808,1.193532,0
-0.24178055,-2.2056108,1.4564537,-1.0342466,-0.20276235,-1.003049,-0.11175897,-1.6634463,0
0.21599083,0.77679497,-1.8521199,-1.303562,1.1212714,0.51708925,0.4715588,0.7591968,0
-1.0400662,-1.0667471,-0.68387896,-0.056068595,-0.53804624,0.10775983,-1.3208253,2.514105,0
-0.14800942,-1.3299419,-0.0100895595,2.5568864,-0.39201427,0.72597176,-1.8756108,1.1788486,0
-0.6844441,-0.54623866,1.1693264,-2.0178099,0.8998295,0.6543654,-0.7694774,-0.34333977,0
-0.77687716,-0.4965185,0.67067677,-2.1356068,0.45455524,0.70273924,-1.2341988,0.63637924,0
-0.9889099,-2.0555758,1.3493146,-1.2209992,-0.08238806,0.07937555,-0.98078007,-0.9519375,0
1.3029084,-1.5353844,1.113239,2.080362,-1.9553978,1.0262276,-1.0952407,-0.41687167,0
-0.4851812,-1.5217633,0.09191977,2.8279254,-0.74455065,0.5012876,-2.2163594,0.7157966,0
-0.41052365,-0.1441662,-1.4594278,-1.1750885,0.1466868,0.4809099,-0.2239667,1.9502473,0
-0.25879806,0.012818602,-1.3386309,-1.5100904,0.2226546,0.4992412,-0.26111516,1.5642018,0
-0.076490134,0.3445032,-0.48020992,-2.080725,0.89119196,0.718165,0.22372395,0.18242678,0
-0.7743754,-1.492974,1.1051745,-1.8490806,0.58043444,0.3688571,-0.76891595,0.12164678,0
-0.47263664,-1.8817369,-0.8710045,-0.09671143,-0.4793601,-0.8640762,-1.3635553,0.99931806,0
-1.2513702,-1.8573463,1.3583872,-1.3301158,0.0764954,0.31029558,-0.8235656,-0.7517526,0
-0.74300516,-0.31364587,-0.6731917,-1.314062,-1.0227882,0.14514758,-1.5651269,1.8881569,0
-0.066205226,0.20854996,-1.4406644,-1.6440885,0.54814625,0.5612439,0.121433854,1.1386734,0
-1.2527714,-0.36499918,1.033505,-1.7673094,1.1799883,-0.91076005,-1.239991,-0.45922172,0
-1.2880449,-1.8096781,1.498667,-1.4586982,-0.0048614517,0.20724586,-0.8065547,-1.1211232,0
-0.9462685,-0.57674384,-0.94921726,-0.90741867,-0.37949657,-0.0041570663,-1.1876255,2.3152063,0
-1.3545498,-0.3199824,1.1301956,-1.7474625,1.1479726,-0.14574242,-1.5538843,0.017977512,0
-1.4663116,-0.61484694,1.4721247,-1.605145,0.9897851,-0.1678626,-1.5021676,-0.24173072,0
-1.2585967,-2.1700494,1.3886272,-1.0249518,-0.30154106,-0.07836416,-0.9886659,-1.2707347,0
2.7036834,-1.1438394,-0.015735244,1.0328119,1.0030619,0.17304993,0.58074385,0.040413905,0
-0.020282319,0.38474846,-1.6956571,-1.4899656,0.7529185,0.44294077,0.03268271,1.2310315,0
-1.2691932,-0.76489383,1.2362345,-1.639615,1.2334713,-1.0398043,-1.0406662,-0.6624841,0
-1.4421875,-2.1309416,1.3731751,-1.1909577,-0.087731145,0.25146824,-0.8309695,-1.0012435,0
-0.23144838,-1.2632414,-0.29979,2.248867,-0.3809191,0.5001547,-1.7067436,1.5219538,0
-0.36388275,-1.5716398,-0.9769956,0.13605951,-0.6822709,-0.14311412,-1.1295038,1.7970802,0
-1.4067528,0.031047188,0.17067403,-1.4422492,1.3770788,-1.1813402,-0.7009372,-0.37380084,0
-0.6166958,-1.5016775,1.0644193,-1.7971871,0.5327686,0.24962695,-0.6874165,0.35901088,0
-1.3419975,-1.6728996,-0.73056215,1.0462885,-1.7254524,-0.4171549,-1.7964606,0.87636286,0
-0.38930258,-0.03257517,-1.0250207,-1.8529723,0.15296069,0.5821921,-0.21785766,1.3100884,0
-1.1764325,-1.5434875,-0.5686689,1.4588053,-0.9794001,-0.15852,-1.9505213,1.8039155,0
0.90847284,-0.96998215,1.0949224,2.4886365,-1.3477596,1.6921664,-1.5216845,0.054070048,0
-0.091034286,1.6219703,-2.0719292,-0.022999378,2.3300865,0.5715445,-0.25395608,-0.09319842,0
-0.6555939,-0.18271652,0.68424606,-2.3230782,0.79733825,0.7303313,-0.98777336,0.26049167,0
-0.87821573,-0.98027635,1.3390218,-1.823825,0.9205202,0.6489984,-0.7739282,-0.22885253,0
-0.3207021,-0.35710192,-1.3721371,-0.821491,0.24975306,0.4686153,-0.36046064,2.1574738,0
0.14993563,-1.2193038,0.30898598,2.8243127,-0.57330734,1.1076374,-1.9224476,0.8124352,0
-0.09389936,-2.0152357,1.3654276,-1.0223479,-0.2070092,-1.2133231,-0.1770708,-1.8049688,0
0.4463575,0.4952904,-0.76857823,0.35285014,0.17887162,2.4565988,-1.0780759,0.90389574,0
